Date,Number of dates,length
1893-01-11,57,34780
1893-01-13,50,31224
1893-01-14,38,20829
1893-01-15,57,17922
1893-01-16,23,19506
1893-01-17,59,19557
1893-01-18,37,37709
1893-01-19,48,19445
1893-01-20,40,30723
1893-01-21,59,18993
1893-01-22,23,17483
1893-01-23,29,19638
1893-01-24,35,18080
1893-01-25,33,36879
1893-02-14,45,19131
1893-02-15,33,37145
1893-02-16,54,20799
1893-02-18,38,18443
1893-02-19,48,16821
1893-02-21,52,19003
1893-02-22,49,36087
1893-02-24,56,17238
1893-02-25,16,20000
1893-03-03,62,19489
1893-03-04,53,19117
1893-03-19,40,17583
1893-03-20,27,18134
1893-03-21,32,19446
1893-03-22,47,37963
1893-03-23,62,19745
1893-03-24,20,17918
1893-03-25,21,19323
1893-03-26,73,19109
1893-03-27,40,20386
1893-03-28,34,19001
1893-03-29,60,38426
1893-03-30,27,20311
1893-03-31,46,19556
1893-04-01,30,19749
1893-04-17,58,17814
1893-04-20,45,18395
1893-04-21,50,19389
1893-04-22,41,20049
1893-04-23,24,19963
1893-04-24,41,18324
1893-04-25,38,20549
1893-04-26,28,37345
1893-04-27,48,17873
1893-05-09,2,10783
1893-05-10,51,36859
1893-05-11,31,18194
1893-05-15,27,18260
1893-05-17,35,32135
1893-05-18,28,20398
1893-05-19,54,19565
1893-05-20,48,19012
1893-05-22,28,20209
1893-05-29,35,19290
1893-05-30,43,19838
1893-05-31,26,35779
1893-06-01,31,18872
1893-06-02,57,19388
1893-06-03,29,20222
1893-06-04,39,15437
1893-06-13,31,19584
1893-06-17,22,19705
1893-06-18,34,19042
1893-06-19,30,20372
1893-06-20,49,18917
1893-06-21,36,38758
1893-06-22,43,20571
1893-06-23,37,20112
1893-07-01,46,20056
1893-07-02,24,18847
1893-07-14,37,19569
1893-07-16,67,20536
1893-07-17,51,20653
1893-07-18,46,20727
1893-07-20,41,19315
1893-07-21,55,19890
1893-07-22,24,20394
1893-07-23,44,19715
1893-07-24,34,21274
1893-07-25,36,20934
1893-07-26,31,39058
1893-07-27,35,20333
1893-07-28,56,20618
1893-07-29,30,20529
1893-07-30,32,19080
1893-07-31,49,21770
1893-08-01,37,19097
1893-08-10,32,20318
1893-08-12,29,20652
1893-08-14,57,21504
1893-08-15,47,21395
1893-08-16,24,38487
1893-08-17,42,19536
1893-08-18,45,20628
1893-08-21,11,8889
1893-08-23,22,37883
1893-08-26,18,20831
1893-08-27,56,19965
1893-08-28,62,20933
1893-08-29,35,20914
1893-08-30,31,40860
1893-08-31,36,20132
1893-09-01,29,20157
1893-09-04,35,17328
1893-09-05,29,19367
1893-09-08,24,19885
1893-09-10,50,20463
1893-09-11,34,20200
1893-09-12,38,20011
1893-09-13,38,37171
1893-09-14,36,18732
1893-09-15,35,21251
1893-09-16,31,18860
1893-09-19,48,20603
1893-09-20,35,36408
1893-09-21,35,19663
1893-09-22,38,20181
1893-09-23,61,18925
1893-09-24,45,15328
1893-09-25,33,21674
1893-09-26,61,19579
1893-09-27,21,37797
1893-09-29,18,19936
1893-10-02,41,20965
1893-10-04,30,35690
1893-10-05,34,19686
1893-10-06,48,19770
1893-10-08,32,14987
1893-10-09,44,19564
1893-10-10,55,19717
1893-10-11,44,35369
1893-10-12,33,20273
1893-10-13,27,19992
1893-10-14,36,19363
1893-10-15,35,19779
1893-10-16,30,20199
1893-10-17,52,20706
1893-10-18,18,32744
1893-10-19,47,20351
1893-10-20,33,19635
1893-10-21,24,18714
1893-10-22,42,19562
1893-10-23,46,19088
1893-10-24,40,19806
1893-10-25,38,36106
1893-10-26,42,19783
1893-10-27,28,20160
1893-10-28,14,19149
1893-10-29,35,19772
1893-10-30,21,20187
1893-10-31,44,19922
1893-11-01,38,37471
1893-11-02,18,19783
1893-11-03,48,20975
1893-11-04,41,21031
1893-11-05,45,17507
1893-11-06,34,20964
1893-11-08,76,37325
1893-11-09,36,19104
1893-11-10,25,19259
1893-11-12,42,19269
1893-11-13,64,19780
1893-11-14,36,19354
1893-11-15,28,36965
1893-11-16,29,19655
1893-11-17,28,20429
1893-11-18,55,20215
1893-11-19,71,20334
1893-11-20,23,20454
1893-11-21,43,19818
1893-11-22,41,35464
1893-11-23,50,18310
1893-11-24,41,31571
1893-11-25,55,18772
1893-11-26,56,18348
1893-11-27,22,20118
1893-11-28,24,20456
1893-11-29,41,34780
1893-11-30,24,19460
1893-12-01,43,18707
1893-12-02,36,18809
1893-12-03,46,25987
1893-12-04,35,19966
1893-12-06,34,36496
1893-12-21,33,18870
1893-12-22,26,19494
