,Date,Number of dates
0,1898-01-01,28
1,1898-01-02,39
2,1898-01-03,47
3,1898-01-04,53
4,1898-01-05,32
5,1898-01-06,39
6,1898-01-07,37
7,1898-01-08,25
8,1898-01-09,52
9,1898-01-10,35
10,1898-01-11,42
11,1898-01-12,58
12,1898-01-13,47
13,1898-01-14,62
14,1898-01-15,45
15,1898-01-16,73
16,1898-01-17,36
17,1898-01-18,34
18,1898-01-19,35
19,1898-01-20,44
20,1898-01-21,58
21,1898-01-22,42
22,1898-01-23,72
23,1898-01-24,40
24,1898-01-25,51
25,1898-01-26,45
26,1898-01-27,47
27,1898-01-28,35
28,1898-01-29,51
29,1898-01-30,42
30,1898-01-31,21
31,1898-02-01,44
32,1898-02-02,70
33,1898-02-03,49
34,1898-02-04,37
35,1898-02-05,32
36,1898-02-06,42
37,1898-02-07,38
38,1898-02-08,49
39,1898-02-09,35
40,1898-02-10,38
41,1898-02-11,43
42,1898-02-12,14
43,1898-02-13,58
44,1898-02-14,27
45,1898-02-15,39
46,1898-02-16,28
47,1898-02-17,40
48,1898-02-18,30
49,1898-02-19,51
50,1898-02-20,70
51,1898-02-21,29
52,1898-02-22,49
53,1898-02-23,45
54,1898-02-24,61
55,1898-02-25,48
56,1898-02-26,68
57,1898-02-27,79
58,1898-02-28,53
59,1898-03-01,49
60,1898-03-02,27
61,1898-03-03,52
62,1898-03-04,43
63,1898-03-05,46
64,1898-03-06,39
65,1898-03-07,24
66,1898-03-08,40
67,1898-03-09,45
68,1898-03-11,45
69,1898-03-12,58
70,1898-03-13,51
71,1898-03-14,36
72,1898-03-15,71
73,1898-03-16,47
74,1898-03-17,44
75,1898-03-18,43
76,1898-03-19,64
77,1898-03-20,37
78,1898-03-21,43
79,1898-03-22,50
80,1898-03-23,43
81,1898-03-24,39
82,1898-03-25,45
83,1898-03-26,39
84,1898-03-27,66
85,1898-03-28,69
86,1898-03-29,33
87,1898-03-30,32
88,1898-03-31,50
89,1898-04-01,48
90,1898-04-02,41
91,1898-04-03,47
92,1898-04-04,34
93,1898-04-05,38
94,1898-04-06,57
95,1898-04-07,48
96,1898-04-08,69
97,1898-04-09,28
98,1898-04-10,58
99,1898-04-11,44
100,1898-04-12,41
101,1898-04-13,47
102,1898-04-14,23
103,1898-04-15,31
104,1898-04-16,56
105,1898-04-17,24
106,1898-04-18,30
107,1898-04-19,20
108,1898-04-20,29
109,1898-04-21,24
110,1898-04-22,47
111,1898-04-23,33
112,1898-04-24,71
113,1898-04-25,32
114,1898-04-26,26
115,1898-04-27,44
116,1898-04-28,38
117,1898-04-29,59
118,1898-04-30,49
119,1898-05-01,93
120,1898-05-02,29
121,1898-05-03,52
122,1898-05-04,19
123,1898-05-05,49
124,1898-05-06,39
125,1898-05-07,44
126,1898-05-08,54
127,1898-05-09,43
128,1898-05-10,40
129,1898-05-11,47
130,1898-05-12,38
131,1898-05-13,37
132,1898-05-14,46
133,1898-05-15,39
134,1898-05-16,62
135,1898-05-17,41
136,1898-05-18,53
137,1898-05-19,57
138,1898-05-20,22
139,1898-05-21,23
140,1898-05-22,38
141,1898-05-23,22
142,1898-05-24,46
143,1898-05-25,59
144,1898-05-26,47
145,1898-05-27,22
146,1898-05-28,47
147,1898-05-29,42
148,1898-05-30,33
149,1898-05-31,35
150,1898-06-01,56
151,1898-06-02,48
152,1898-06-03,37
153,1898-06-04,43
154,1898-06-05,35
155,1898-06-06,18
156,1898-06-07,33
157,1898-06-08,50
158,1898-06-09,46
159,1898-06-10,22
160,1898-06-11,51
161,1898-06-12,34
162,1898-06-13,20
163,1898-06-14,67
164,1898-06-15,27
165,1898-06-16,57
166,1898-06-17,29
167,1898-06-18,47
168,1898-06-19,39
169,1898-06-20,39
170,1898-06-21,13
171,1898-06-22,31
172,1898-06-23,41
173,1898-06-24,51
174,1898-06-25,36
175,1898-06-26,37
176,1898-06-27,24
177,1898-06-28,53
178,1898-06-29,31
179,1898-06-30,51
180,1898-07-01,22
181,1898-07-02,40
182,1898-07-03,44
183,1898-07-04,51
184,1898-07-05,44
185,1898-07-06,29
186,1898-07-07,29
187,1898-07-08,23
188,1898-07-09,39
189,1898-07-10,52
190,1898-07-11,27
191,1898-07-12,32
192,1898-07-13,54
193,1898-07-14,40
194,1898-07-15,35
195,1898-07-16,40
196,1898-07-17,37
197,1898-07-18,40
198,1898-07-19,31
199,1898-07-20,54
200,1898-07-21,37
201,1898-07-22,49
202,1898-07-23,43
203,1898-07-24,55
204,1898-07-25,17
205,1898-07-26,52
206,1898-07-27,57
207,1898-07-28,93
208,1898-07-29,47
209,1898-07-30,35
210,1898-07-31,41
211,1898-08-01,41
212,1898-08-02,22
213,1898-08-03,31
214,1898-08-04,40
215,1898-08-05,47
216,1898-08-06,43
217,1898-08-07,43
218,1898-08-08,42
219,1898-08-09,27
220,1898-08-10,30
221,1898-08-11,41
222,1898-08-12,31
223,1898-08-13,32
224,1898-08-14,20
225,1898-08-15,28
226,1898-08-16,64
227,1898-08-17,34
228,1898-08-18,56
229,1898-08-19,39
230,1898-08-20,49
231,1898-08-21,42
232,1898-08-22,44
233,1898-08-23,44
234,1898-08-24,24
235,1898-08-25,30
236,1898-08-26,33
237,1898-08-27,41
238,1898-08-28,41
239,1898-08-29,22
240,1898-08-30,35
241,1898-08-31,47
242,1898-09-01,29
243,1898-09-02,44
244,1898-09-03,76
245,1898-09-04,47
246,1898-09-05,32
247,1898-09-06,49
248,1898-09-07,32
249,1898-09-08,33
250,1898-09-09,41
251,1898-09-10,46
252,1898-09-11,55
253,1898-09-12,43
254,1898-09-13,37
255,1898-09-14,55
256,1898-09-15,48
257,1898-09-16,39
258,1898-09-17,26
259,1898-09-18,50
260,1898-09-19,46
261,1898-09-20,24
262,1898-09-21,20
263,1898-09-22,41
264,1898-09-23,44
265,1898-09-24,40
266,1898-09-25,45
